,id,screen_name,followers_count,friends_count,favourites_count
304,757676727334211585,ChudziakMa,308,514,1228
305,532121906,MFAofArmenia,82722,626,3272
306,2361086131,DobreImiePolski,11545,234,936
307,3607553536,PolitykaZdrowot,12328,1368,1431
308,1110494675335634944,K_Lubiniecka,816,369,34089
309,44731913,tomaszewskim,2939,412,16237
310,1382040850365042692,_Mrtdogg,1526,428,152
311,29721688,tarnogorski,270,421,2101
312,1458102787267497995,Mikuch43910885,0,15,0
313,1460659683316879372,mind09311,0,11,1
314,7587032,SkyNews,7374417,23,1
315,1460678590404640782,Agatad1985,0,9,0
316,548779342,szachmad,24389,3790,95714
317,362334069,MSWiA_GOV_PL,120957,752,3206
318,793404334616768512,robert_ulrich77,3684,1264,35707
319,365978429,tserwanski,404,1350,39
320,1233143166536232972,GasLeszek,257,1246,15508
321,1604242622,KubaBenedyczak,853,543,1940
322,1460672674041155591,kiniulala03,0,11,0
323,1460658581934678016,DorotaGroch,0,5,0
324,363197008,aga_kaminska,682,4441,4609
325,1930622304,TVN24BiS,114188,91,1737
326,1324053818691276806,KacperKita,3100,930,22212
327,1095103454954037248,Mariann38272999,13,712,2010
328,1460636038955773952,pawel9030,0,7,0
329,1230190880247754752,Ferenczak_,329,2210,32487
330,1460651430713376770,RadekStep,0,3,0
331,1049818310,zbyszekfy,1,171,217
332,1460568146700550152,Monka80247553,1,76,2
333,2420484505,JuliuszSabak,3612,516,12956
334,1367070178811518977,ZButrymowicz,789,765,92735
335,168207285,ciynka,833,918,264060
336,1139741071,KingaDudzinska2,1024,1700,6255
337,2979632800,RCB_RP,25798,93,387
338,1460653897014464521,KlaudiaJagiell1,0,21,0
339,1239123783920816128,soplicowo1948,5,450,2167
340,994932325422116866,PrzystanekH,3556,94,15368
341,1300760900954140672,Tomasz47264032,136,59,10273
342,344828991,AndZyberto,42655,1085,13290
343,2776583390,michaldworczyk,50061,410,6800
344,2587210938,mbank_research,20745,401,767
345,2838333376,AnetaBalcerzak,115,782,21095
346,1142852083307175937,Avanti_1989,22172,20647,50668
347,1458776214223704068,HannaKralska,1,25,91
348,3234244969,gipsretro,58,582,1119
349,1001521768228638720,SzymanekPawe,673,2132,1
350,1156960430,AGawlikowskaFyk,1946,1186,4963
351,1460663563136253957,DDulbas,0,44,4
352,801133555,WronaM,24344,241,2836
353,786606892214808576,KP_kp812,44,553,7805
354,3375830975,grzegorz_braun,20289,95,0
355,1460661126199496706,MHMMHM28134712,0,28,1
356,899954538,RGwiazdowski,99508,434,12466
357,34713362,business,7685037,1363,2436
358,16832632,MrKRudd,1563009,395265,865
359,1002481398,MarekPiskorski,116,1815,80
360,372862603,specialreports,37987,109,32
361,771085371333550080,AWidlaszewska,308,568,2087
362,2295830792,A_Kropiwiec,24,89,846
363,42626710,rafalhubert,30650,1075,137732
364,1298373791077347332,marcin01823347,5,150,610
365,754078790696009728,jmtrubilowicz,130,2124,31741
366,2400508741,LukKopanski,160,424,684
367,816861912,EU_Armenia,13586,366,1708
368,822772308339281920,kawecki_maciej,11045,152,7252
369,1460656530974519299,piotr_norasPL,0,14,1
370,1341622346956693508,SarzynskiTomasz,2,218,199
371,1460643743636369415,JakubMartinka1,0,18,0
372,1287932883416489984,ModelsWarp,1150,1553,408
373,1354417077080236032,Alicja96134799,38,818,28
374,346645622,JanisKaupers,15,825,159
375,1253021692525449216,fr_tempe,93,298,8613
376,927153246136864768,strejszon_21,38,2882,654
377,838148341615714308,BartekZnojek,368,453,1839
378,3431283700,SandraBaniak,183,480,5763
379,1460644334097813504,Novitzky_,0,34,0
380,859780125637959685,wojna_idei,11623,43,979
381,1337067847198105601,Krzyszt39186215,144,960,6638
382,897194970729336836,ASztaproy,1177,1170,47208
383,809685248929894400,SaladinAlDronni,10807,803,19237
384,1459297782628593676,NorbertWarchol,0,11,0
385,281445307,raptor2072,233,659,18086
386,1460650368329781262,JakubMuzylo,1,45,3
387,1460635374590570499,AndrzejAB1,0,1,0
388,150584701,jacekzarzecki,1750,459,14905
389,1065692233,marcin_przydacz,6317,548,2891
390,1111235469147283462,michal_czyzew,1,1100,59344
391,886925765933228033,BukowyWierch,4181,2005,46013
392,2161166076,wina_Mazurka,67909,169,3016
393,731490551888019458,BratWodza,20127,984,32819
394,1860192523,B_Cichocki,3597,646,3303
395,1013790582966226944,MorhardR,286,232,50855
396,1013611699,KMichalowski,73,839,20316
397,358136787,MON_GOV_PL,138625,656,11534
398,38134003,ErykMistewicz,38699,2333,55709
399,1447599733128695810,Borsuk781,3,155,563
400,1460671476651204615,Rusek5Rusek,0,59,0
401,1325118289673134083,WeronikaWaldon,97,677,807
402,1267098654,TVN24Newsroom,5865,15,0
403,1056932786228129792,SztabGenWP,9623,82,1960
404,1460625946499854350,JacekZelazowski,0,17,0
405,1247823998,WisconsinProj,978,445,387
406,213577055,AnnaKalczynska,43185,726,16682
407,826183279237664769,mar_watrobinski,5602,994,225578
408,893839021855694850,ScharlottaMer,195,3977,15113
409,4839389379,w_wojcik007,1285,2989,98974
